model,split,class_name,precision,recall,f1,support
linear_ridge,validation,running_water,0.4964871194379391,0.7546402237477753,0.5989304812834224,3933
linear_ridge,validation,toilet_flushing,0.14390009606147935,0.7658486707566462,0.24227721170952612,978
linear_ridge,validation,vacuum_cleaner,0.36232604373757454,0.8461984910040626,0.5073951626935792,1723
linear_ridge,validation,wardrobe_drawer_open_close,0.06495643756050339,0.6451923076923077,0.11802990325417766,1040
linear_ridge,validation,window_open_close,0.0524987380111055,0.8125,0.09862494073020389,640
linear_ridge,test,bell_ringing,0.1565934065934066,0.6812749003984063,0.2546537602382725,502
linear_ridge,test,coffee_machine,0.1432579016270806,0.673702726473175,0.23627390499691547,1137
linear_ridge,test,cutlery_dishes,0.22916666666666666,0.6430469441984057,0.33791016988596695,2258
linear_ridge,test,door_open_close,0.1301544050862852,0.7826324412889132,0.2231913402382992,1831
linear_ridge,test,footsteps,0.2678488820354665,0.822832780672667,0.4041414611447185,4222
linear_ridge,test,keyboard_typing,0.19573024740622505,0.6857742048234883,0.30454016298020953,2861
linear_ridge,test,keychain,0.16801768607221812,0.6627906976744186,0.26807760141093473,1720
linear_ridge,test,light_switch,0.039509674804984296,0.6914893617021277,0.07474844274077623,564
linear_ridge,test,microwave,0.3642265502574435,0.792498782269849,0.499079754601227,2053
linear_ridge,test,phone_ringing,0.4458092485549133,0.6210367388022144,0.5190325972660358,1987
linear_ridge,test,running_water,0.4238771466314399,0.7891177374731018,0.5515092920829305,3253
linear_ridge,test,toilet_flushing,0.13784665579119088,0.8086124401913876,0.23554006968641114,1045
linear_ridge,test,vacuum_cleaner,0.3657090743274054,0.8541001064962727,0.51213282247765,1878
linear_ridge,test,wardrobe_drawer_open_close,0.06951448630475625,0.6373526745240253,0.12535663338088446,1103
linear_ridge,test,window_open_close,0.05039148765308171,0.6544980443285529,0.09357815267033275,767
random_forest,validation,bell_ringing,0.3712784588441331,0.41325536062378165,0.39114391143911437,513
random_forest,validation,coffee_machine,0.21786743515850143,0.36346153846153845,0.2724324324324324,1040
random_forest,validation,cutlery_dishes,0.18972746331236898,0.42289719626168226,0.2619392185238784,2568
