model,split,macro_f1,micro_f1,sample_f1,hamming_loss,true_label_density,pred_label_density
all_negative,validation,0.0,0.0,0.0,0.07564062254362522,0.07564062254362522,0.0
all_negative,test,0.0,0.0,0.0,0.0715722674250204,0.0715722674250204,0.0
empirical_frequency,validation,0.07457790359846293,0.10529254715828781,0.07452307339117589,0.13434208457789656,0.07564062254362522,0.07451134517633495
empirical_frequency,test,0.07136586987658707,0.09565830635974033,0.06622372940012564,0.13168760038970956,0.0715722674250204,0.07404481659952077
linear_ridge,validation,0.31156447793097886,0.3080212011529417,0.3005141954501332,0.24594927422313054,0.07564062254362522,0.27978829324529686
linear_ridge,test,0.309317744386771,0.295611770779556,0.2858552544961424,0.2514890591673908,0.0715722674250204,0.28545962029649524
random_forest,validation,0.2982772848743088,0.3230330025944559,0.2970170833812557,0.1907430697479432,0.07564062254362522,0.20612063092805114
random_forest,test,0.2953556167178634,0.30754033585775437,0.2813639709247577,0.1938146773046844,0.0715722674250204,0.2083208257629618
