wav,support,TP,FP,FN,f1,recall,n_ws
003087.wav,23,15,5,8,0.6976744186046512,0.6521739130434783,18
000418.wav,41,23,2,18,0.696969696969697,0.5609756097560976,30
001412.wav,30,16,0,14,0.6956521739130435,0.5333333333333333,32
000360.wav,35,24,10,11,0.6956521739130435,0.6857142857142857,34
003864.wav,38,25,9,13,0.6944444444444444,0.6578947368421053,34
004545.wav,26,18,8,8,0.6923076923076923,0.6923076923076923,25
003834.wav,14,9,3,5,0.6923076923076923,0.6428571428571429,17
003201.wav,14,9,3,5,0.6923076923076923,0.6428571428571429,17
002113.wav,28,18,6,10,0.6923076923076923,0.6428571428571429,32
003284.wav,14,9,3,5,0.6923076923076923,0.6428571428571429,17
005111.wav,42,26,8,16,0.6842105263157895,0.6190476190476191,18
005498.wav,22,15,7,7,0.6818181818181818,0.6818181818181818,24
003870.wav,27,17,6,10,0.68,0.6296296296296297,17
002531.wav,25,17,8,8,0.68,0.68,31
000970.wav,31,18,4,13,0.6792452830188679,0.5806451612903226,16
002354.wav,37,25,12,12,0.6756756756756757,0.6756756756756757,32
000346.wav,18,13,8,5,0.6666666666666666,0.7222222222222222,34
002100.wav,28,14,0,14,0.6666666666666666,0.5,17
003953.wav,22,15,8,7,0.6666666666666666,0.6818181818181818,33
000301.wav,34,18,2,16,0.6666666666666666,0.5294117647058824,19
002310.wav,40,22,4,18,0.6666666666666666,0.55,28
001613.wav,18,9,0,9,0.6666666666666666,0.5,18
002412.wav,20,13,6,7,0.6666666666666666,0.65,22
002850.wav,55,28,2,27,0.6588235294117647,0.509090909090909,33
005500.wav,27,19,12,8,0.6551724137931034,0.7037037037037037,20
005717.wav,69,36,5,33,0.6545454545454545,0.5217391304347826,31
003289.wav,33,18,4,15,0.6545454545454545,0.5454545454545454,28
004843.wav,28,17,7,11,0.6538461538461539,0.6071428571428571,30
003496.wav,45,25,7,20,0.6493506493506493,0.5555555555555556,29
001417.wav,20,11,3,9,0.6470588235294118,0.55,23
003760.wav,78,48,23,30,0.6442953020134228,0.6153846153846154,30
004845.wav,35,18,3,17,0.6428571428571429,0.5142857142857142,28
003930.wav,29,25,24,4,0.6410256410256411,0.8620689655172413,33
002327.wav,27,16,7,11,0.64,0.5925925925925926,26
005487.wav,30,15,2,15,0.6382978723404256,0.5,24
001829.wav,28,14,2,14,0.6363636363636364,0.5,33
004401.wav,27,14,3,13,0.6363636363636364,0.5185185185185185,18
001711.wav,24,14,6,10,0.6363636363636364,0.5833333333333334,23
000787.wav,40,19,1,21,0.6333333333333333,0.475,21
001086.wav,18,12,8,6,0.631578947368421,0.6666666666666666,22
001607.wav,40,22,8,18,0.6285714285714286,0.55,24
001518.wav,16,11,8,5,0.6285714285714286,0.6875,14
002739.wav,63,32,7,31,0.6274509803921569,0.5079365079365079,28
001014.wav,18,10,4,8,0.625,0.5555555555555556,22
003109.wav,33,19,9,14,0.6229508196721312,0.5757575757575758,33
003598.wav,22,14,9,8,0.6222222222222222,0.6363636363636364,35
003093.wav,27,14,4,13,0.6222222222222222,0.5185185185185185,17
005298.wav,30,14,1,16,0.6222222222222222,0.4666666666666667,20
004550.wav,20,14,11,6,0.6222222222222222,0.7,26
001099.wav,44,23,7,21,0.6216216216216216,0.5227272727272727,34
001094.wav,48,22,1,26,0.6197183098591549,0.4583333333333333,25
003872.wav,21,13,8,8,0.6190476190476191,0.6190476190476191,22
001365.wav,26,17,12,9,0.6181818181818182,0.6538461538461539,35
003226.wav,18,8,0,10,0.6153846153846154,0.4444444444444444,18
000219.wav,33,16,3,17,0.6153846153846154,0.48484848484848486,23
003203.wav,25,12,2,13,0.6153846153846154,0.48,20
003862.wav,23,16,13,7,0.6153846153846154,0.6956521739130435,28
004214.wav,16,8,2,8,0.6153846153846154,0.5,21
002486.wav,14,8,4,6,0.6153846153846154,0.5714285714285714,15
004494.wav,14,12,13,2,0.6153846153846154,0.8571428571428571,23
001017.wav,30,19,13,11,0.6129032258064516,0.6333333333333333,32
001502.wav,37,19,6,18,0.6129032258064516,0.5135135135135135,20
001425.wav,56,30,12,26,0.6122448979591837,0.5357142857142857,30
000414.wav,37,26,22,11,0.611764705882353,0.7027027027027027,30
001751.wav,13,7,3,6,0.6086956521739131,0.5384615384615384,17
004483.wav,28,17,11,11,0.6071428571428571,0.6071428571428571,26
004015.wav,17,10,6,7,0.6060606060606061,0.5882352941176471,17
004841.wav,30,16,7,14,0.6037735849056604,0.5333333333333333,24
002640.wav,27,16,10,11,0.6037735849056604,0.5925925925925926,24
003713.wav,34,16,3,18,0.6037735849056604,0.47058823529411764,17
005195.wav,39,19,5,20,0.6031746031746031,0.48717948717948717,18
000363.wav,14,6,0,8,0.6,0.42857142857142855,19
003204.wav,34,15,1,19,0.6,0.4411764705882353,30
004211.wav,24,12,4,12,0.6,0.5,25
000785.wav,28,18,14,10,0.6,0.6428571428571429,23
000359.wav,34,17,6,17,0.5964912280701754,0.5,29
002384.wav,24,14,9,10,0.5957446808510638,0.5833333333333334,22
001611.wav,25,13,6,12,0.5909090909090909,0.52,25
005483.wav,29,18,14,11,0.5901639344262295,0.6206896551724138,33
000800.wav,53,23,2,30,0.5897435897435898,0.4339622641509434,25
002078.wav,19,10,5,9,0.5882352941176471,0.5263157894736842,22
002838.wav,28,17,13,11,0.5862068965517241,0.6071428571428571,32
002733.wav,23,12,6,11,0.5853658536585366,0.5217391304347826,22
001713.wav,28,12,1,16,0.5853658536585366,0.42857142857142855,22
000783.wav,23,14,11,9,0.5833333333333334,0.6086956521739131,27
001236.wav,12,7,5,5,0.5833333333333334,0.5833333333333334,15
000415.wav,36,18,8,18,0.5806451612903226,0.5,28
001887.wav,23,11,4,12,0.5789473684210527,0.4782608695652174,28
001547.wav,44,24,15,20,0.5783132530120482,0.5454545454545454,29
000496.wav,29,17,13,12,0.576271186440678,0.5862068965517241,18
003531.wav,34,16,6,18,0.5714285714285714,0.47058823529411764,40
002490.wav,18,8,2,10,0.5714285714285714,0.4444444444444444,18
002680.wav,17,10,8,7,0.5714285714285714,0.5882352941176471,18
001616.wav,36,16,4,20,0.5714285714285714,0.4444444444444444,17
002844.wav,17,12,13,5,0.5714285714285714,0.7058823529411765,20
002847.wav,19,8,1,11,0.5714285714285714,0.42105263157894735,18
002266.wav,29,18,16,11,0.5714285714285714,0.6206896551724138,25
002489.wav,23,15,15,8,0.5660377358490566,0.6521739130434783,23
003207.wav,55,22,1,33,0.5641025641025641,0.4,34
000068.wav,26,11,2,15,0.5641025641025641,0.4230769230769231,24
005481.wav,16,9,7,7,0.5625,0.5625,21
002895.wav,14,9,9,5,0.5625,0.6428571428571429,24
001532.wav,12,9,11,3,0.5625,0.75,26
003948.wav,46,19,3,27,0.5588235294117647,0.41304347826086957,31
002677.wav,18,12,13,6,0.5581395348837209,0.6666666666666666,19
001369.wav,20,12,11,8,0.5581395348837209,0.6,25
001831.wav,22,10,4,12,0.5555555555555556,0.45454545454545453,31
001556.wav,34,13,0,21,0.5531914893617021,0.38235294117647056,24
001277.wav,8,8,13,0,0.5517241379310345,1.0,18
000362.wav,35,16,7,19,0.5517241379310345,0.45714285714285713,26
003952.wav,18,8,3,10,0.5517241379310345,0.4444444444444444,16
003225.wav,42,19,8,23,0.5507246376811594,0.4523809523809524,23
003877.wav,23,11,6,12,0.55,0.4782608695652174,22
003973.wav,22,11,7,11,0.55,0.5,24
003195.wav,32,17,13,15,0.5483870967741935,0.53125,38
000655.wav,29,20,24,9,0.547945205479452,0.6896551724137931,31
001516.wav,20,9,4,11,0.5454545454545454,0.45,20
001443.wav,23,10,4,13,0.5405405405405406,0.43478260869565216,16
000141.wav,36,17,10,19,0.5396825396825397,0.4722222222222222,17
001085.wav,19,7,0,12,0.5384615384615384,0.3684210526315789,21
001282.wav,31,14,7,17,0.5384615384615384,0.45161290322580644,27
000094.wav,30,11,0,19,0.5365853658536586,0.36666666666666664,20
005191.wav,19,11,11,8,0.5365853658536586,0.5789473684210527,26
000302.wav,51,19,1,32,0.5352112676056338,0.37254901960784315,24
003754.wav,26,16,18,10,0.5333333333333333,0.6153846153846154,31
003200.wav,19,8,3,11,0.5333333333333333,0.42105263157894735,23
