annotation,precision,recall,f1,map
bell_ringing,0.4260869565217391,0.21777777777777776,0.28823529411764703,
coffee_machine,0.5037406483790524,0.28251748251748254,0.36200716845878134,
cutlery_dishes,0.29437706725468576,0.2807570977917981,0.2874058127018299,
door_open_close,0.2223816355810617,0.16332982086406744,0.18833535844471447,
footsteps,0.38426453819840367,0.2934262080975185,0.33275734386571215,
keyboard_typing,0.3742384682332463,0.3451043338683788,0.35908141962421714,
keychain,0.3795275590551181,0.28088578088578087,0.32283991962491626,
light_switch,0.23983739837398374,0.2277992277992278,0.23366336633663368,
microwave,0.4079110012360939,0.3728813559322034,0.38961038961038963,
phone_ringing,0.533969010727056,0.44400396432111,0.48484848484848486,
running_water,0.6547842401500938,0.5160177427304091,0.5771775082690187,
toilet_flushing,0.2884250474383302,0.2923076923076923,0.2903533906399236,
vacuum_cleaner,0.48514851485148514,0.45528455284552843,0.46974236069502695,
wardrobe_drawer_open_close,0.1111111111111111,0.08704453441295547,0.09761634506242906,
window_open_close,0.056716417910447764,0.06620209059233449,0.06109324758842444,
